+-----+------------+------+-------+
| id  | date       | hour | count |
| 473 | 2021-01-03 |   14 |    88 |
| 474 | 2021-01-03 |   15 |    90 |
| 475 | 2021-01-03 |   16 |    67 |
| 476 | 2021-01-03 |   17 |    54 |
| 477 | 2021-01-03 |   18 |    65 |
| 478 | 2021-01-03 |   19 |    77 |
| 479 | 2021-01-03 |   20 |   152 |
| 480 | 2021-01-03 |   21 |   113 |
| 481 | 2021-01-03 |   22 |    55 |
| 482 | 2021-01-03 |   23 |    33 |
| 483 | 2021-01-04 |    0 |     8 |
| 484 | 2021-01-04 |    1 |     4 |
| 485 | 2021-01-04 |    2 |     3 |
| 486 | 2021-01-04 |    3 |     2 |
| 487 | 2021-01-04 |    4 |     1 |
| 488 | 2021-01-04 |    5 |     2 |
| 489 | 2021-01-04 |    6 |     3 |
| 490 | 2021-01-04 |    7 |     8 |
| 491 | 2021-01-04 |    8 |    14 |
| 492 | 2021-01-04 |    9 |    28 |
| 493 | 2021-01-04 |   10 |    59 |
| 494 | 2021-01-04 |   11 |    63 |
| 495 | 2021-01-04 |   12 |    81 |
| 496 | 2021-01-04 |   13 |    93 |
| 497 | 2021-01-04 |   14 |    79 |
| 498 | 2021-01-04 |   15 |   101 |
| 499 | 2021-01-04 |   16 |    92 |
| 500 | 2021-01-04 |   17 |   123 |
| 501 | 2021-01-04 |   18 |   115 |
| 502 | 2021-01-04 |   19 |   121 |
| 503 | 2021-01-04 |   20 |   157 |
| 504 | 2021-01-04 |   21 |   102 |
| 505 | 2021-01-04 |   22 |    81 |
| 506 | 2021-01-04 |   23 |    50 |
| 507 | 2021-01-05 |    0 |    27 |
| 508 | 2021-01-05 |    1 |    17 |
| 509 | 2021-01-05 |    2 |     6 |
| 510 | 2021-01-05 |    3 |     1 |
| 511 | 2021-01-05 |    4 |     3 |
| 512 | 2021-01-05 |    5 |     3 |
| 513 | 2021-01-05 |    6 |     2 |
| 514 | 2021-01-05 |    7 |    10 |
| 515 | 2021-01-05 |    8 |    34 |
| 516 | 2021-01-05 |    9 |    27 |
| 517 | 2021-01-05 |   10 |    39 |
| 518 | 2021-01-05 |   11 |    66 |
| 519 | 2021-01-05 |   12 |    94 |
| 520 | 2021-01-05 |   13 |   108 |
| 521 | 2021-01-05 |   14 |   103 |
| 522 | 2021-01-05 |   15 |   119 |
| 523 | 2021-01-05 |   16 |   119 |
| 524 | 2021-01-05 |   17 |   110 |
